train_loss,epoch,step,val_loss
0.06363735347986221,0,49,
0.04152589291334152,0,99,
0.03900556266307831,0,149,
0.03573658689856529,0,199,
0.03263008967041969,0,249,
0.026510968804359436,0,299,
0.030333448201417923,0,349,
0.029587598517537117,0,399,
0.031198369339108467,0,449,
0.03618567809462547,0,499,
0.031204042956233025,0,549,
0.028041163459420204,0,599,
0.02848714217543602,0,649,
0.03112741746008396,0,699,
0.02686065435409546,0,749,
0.02779955044388771,0,799,
0.026428019627928734,0,849,
0.03251675143837929,0,899,
,0,937,0.02852526493370533
0.0294430460780859,1,949,
0.030305080115795135,1,999,
0.028058750554919243,1,1049,
0.026997210457921028,1,1099,
0.027454307302832603,1,1149,
0.028149588033556938,1,1199,
0.026262348517775536,1,1249,
0.028265591710805893,1,1299,
0.027335112914443016,1,1349,
0.028247779235243797,1,1399,
0.029232855886220932,1,1449,
0.030458634719252586,1,1499,
0.026450667530298233,1,1549,
0.02708624117076397,1,1599,
0.02823532372713089,1,1649,
0.02943364344537258,1,1699,
0.02940891683101654,1,1749,
0.026887578889727592,1,1799,
0.030100170522928238,1,1849,
,1,1875,0.027012227103114128
