train_loss,epoch,step,val_loss
0.06011597812175751,0,49,
0.04520588740706444,0,99,
0.04064306244254112,0,149,
0.031173208728432655,0,199,
0.036356039345264435,0,249,
0.028607936576008797,0,299,
0.028494741767644882,0,349,
0.03603781759738922,0,399,
0.03142046183347702,0,449,
0.029096050187945366,0,499,
0.026318104937672615,0,549,
0.030510110780596733,0,599,
0.026983454823493958,0,649,
0.02876025065779686,0,699,
0.02985115349292755,0,749,
0.0268279779702425,0,799,
0.02705087885260582,0,849,
0.03273075073957443,0,899,
,0,937,0.027574783191084862
0.02517266385257244,1,949,
0.032015178352594376,1,999,
0.02452472411096096,1,1049,
0.02634500339627266,1,1099,
0.029626164585351944,1,1149,
0.024957096204161644,1,1199,
0.027998700737953186,1,1249,
0.02857411652803421,1,1299,
0.0298780370503664,1,1349,
0.026966646313667297,1,1399,
0.02641008235514164,1,1449,
0.030872194096446037,1,1499,
0.025542588904500008,1,1549,
0.02820073813199997,1,1599,
0.028978712856769562,1,1649,
0.028765184804797173,1,1699,
0.027943136170506477,1,1749,
0.02608734741806984,1,1799,
0.027830755338072777,1,1849,
,1,1875,0.026497235521674156
