train_loss,epoch,step,val_loss
0.07054214179515839,0,49,
0.04858523979783058,0,99,
0.04323685169219971,0,149,
0.03563626483082771,0,199,
0.0354345478117466,0,249,
0.03635956346988678,0,299,
0.03301513195037842,0,349,
0.033089276403188705,0,399,
0.038710564374923706,0,449,
0.031674232333898544,0,499,
0.029539749026298523,0,549,
0.032153040170669556,0,599,
0.029655586928129196,0,649,
0.03177478909492493,0,699,
0.02600148133933544,0,749,
0.02640600875020027,0,799,
0.026085082441568375,0,849,
0.026052815839648247,0,899,
,0,937,0.028105052188038826
0.024609528481960297,1,949,
0.02778833732008934,1,999,
0.027587847784161568,1,1049,
0.027471788227558136,1,1099,
0.02737051248550415,1,1149,
0.027120867744088173,1,1199,
0.024119766429066658,1,1249,
0.025270601734519005,1,1299,
0.02474023774266243,1,1349,
0.031218810006976128,1,1399,
0.025510363280773163,1,1449,
0.025713000446558,1,1499,
0.026339953765273094,1,1549,
0.02541573904454708,1,1599,
0.02315543033182621,1,1649,
0.02610565721988678,1,1699,
0.026413293555378914,1,1749,
0.02621973305940628,1,1799,
0.026116808876395226,1,1849,
,1,1875,0.026443060487508774
